"","trackCensoredName","price","trackId","iphone","ipad","primaryGenreId","genreIds","formattedPrice","averageUserRating","userRatingCount"
"109","Lawn Love for Lawn Pros",0,1202015695,1,1,6000,"6000,","Free",2.5,24
"110","gwAccess",0,1219912806,1,1,6000,"6000,6002,","Free",4,24
"111","FSA Order Management",0,1228731795,1,1,6000,"6000,6023,","Free",3,24
"112","Pairing Decoder",0,1229355593,1,1,6000,"6000,6003,","Free",5,24
"113","IriSee",0,1231403930,1,1,6000,"6000,6016,","Free",4,24
"114","NCAR V2.0",0,1270850484,1,1,6000,"6000,6007,","Free",3.5,24
"115","山西ETC",0,1271311777,1,1,6000,"6000,","Free",2.5,24
"116","上海国拍",0,1279301562,1,1,6000,"6000,","Free",5,24
"117","Convey Digital Business Cards",0,1281974110,1,1,6000,"6000,6007,","Free",4.5,24
"118","阿里通信 — 我的通信管家",0,1297887749,1,1,6000,"6000,6024,","Free",1.5,24
"119","CS Management",0,1315510847,1,1,6000,"6000,6007,","Free",2,24
"120","Roi's List: Real Estate Invest",0,1331253139,1,1,6000,"6000,6005,","Free",3.5,24
"121","千美黛",0,1345952584,1,1,6000,"6000,","Free",4.5,24
"122","BlogTeam",0,1357553571,1,1,6000,"6000,6005,","Free",5,24
"123","Elepreneurs",0,1357980137,1,1,6000,"6000,","Free",4,24
"124","Trustwork",0,1383914588,1,1,6000,"6000,6007,","Free",5,24
"125","NetApp Events",0,1390017846,1,1,6000,"6000,6002,","Free",4.5,24
"126","Mark and Zach Real Estate",0,1403676300,1,1,6000,"6000,6015,","Free",5,24
"127","MarginCalc",2.99,295463485,1,1,6000,"6000,6015,","2.99 USD",3,23
"128","Birmingham Business Journal",0,320617985,1,1,6000,"6000,6021,","Free",3,23
"129","Mobile Presenter™ - Screen Sharing and Projection",3.99,351899754,1,1,6000,"6000,6007,","3.99 USD",1.5,23
"130","myCRM",0,352221419,1,1,6000,"6000,6007,","Free",3,23
"131","AudienceSCAN",0,361862782,1,1,6000,"6000,6009,","Free",3.5,23
"132","ePNMobile",0,365926980,1,1,6000,"6000,6015,","Free",3,23
"133","Call Control for BroadWorks",9.99,372963714,1,1,6000,"6000,6007,","9.99 USD",3,23
"134","Vendini TicketScan",0,376436697,1,1,6000,"6000,6007,","Free",3.5,23
"135","Sanus Install Tool Kit",0,385366885,0,1,6000,"6000,6007,","Free",2.5,23
"136","ET-Scanner",0,389352673,1,1,6000,"6000,6007,","Free",4,23
"137","South West Check In Reminder",1.99,389800946,1,1,6000,"6000,6003,","1.99 USD",2,23
"138","zMEyePlus",0,403191722,1,1,6000,"6000,6002,","Free",3,23
"139","CameraVision - Visual Presenter",0.99,412366083,1,1,6000,"6000,6002,","0.99 USD",3.5,23
"140","Yamamah",0,433382952,1,1,6000,"6000,6002,","Free",2,23
"141","Dale Carnegie Training: Personal Leadership",0,433493981,1,1,6000,"6000,6017,","Free",3,23
"142","HVAC Residential Load Calcs HD",49.99,449945304,0,1,6000,"6000,6007,","49.99 USD",3,23
"143","Blvd: Avenue",0,452016458,1,1,6000,"6000,6007,","Free",2.5,23
"144","PDF Splitter",4.99,453414184,1,1,6000,"6000,6007,","$4.99",3.5,23
"145","Berkeley-Haas Magazine",0,453741930,1,1,6000,"6000,6009,","Free",5,23
"146","Grant’s Interest Rate Observer",0,456028615,1,1,6000,"6000,6015,","Free",4,23
"147","GENCom for Mobile",0,465964514,1,1,6000,"6000,6007,","Free",4,23
"148","iPresent",0,465977810,1,1,6000,"6000,6002,","Free",3.5,23
"149","Business Chinese Pro - Phrases & Vocabulary",4.99,483881217,1,1,6000,"6000,6017,","4.99 USD",5,23
"150","VeriScan Online - ID Scanner",0,492004415,1,1,6000,"6000,6016,","Free",4,23
"151","SaaS helpdesk|ServiceDesk Plus",0,496792710,1,1,6000,"6000,","Free",2.5,23
"152","SmartChoice Loan Calculator for Small Business Commercial Real Estate",0,502923091,1,1,6000,"6000,6015,","Free",4,23
"153","Open House Sign-in Sheet",0.99,510200470,0,1,6000,"6000,6015,","0.99 USD",1.5,23
"154","Thrift Town",0,522564317,1,1,6000,"6000,6012,","Free",3,23
"155","Kofax Mobile Capture™",0,524825569,1,1,6000,"6000,6007,","Free",4,23
"156","VIP - Mobile",0,524982538,1,1,6000,"6000,6007,","Free",2.5,23
"157","Business Inventory",0.99,535888410,1,1,6000,"6000,6015,","0.99 USD",2,23
"158","Bluebonnet",0,552337465,1,1,6000,"6000,6002,","Free",3,23
"159","Swisscom BCM",0,552878017,1,1,6000,"6000,6007,","Free",2.5,23
"160","AuctionACCESS Mobile",0,561969130,1,1,6000,"6000,6002,","Free",4,23
"161","Diamond Cars",0,569453207,1,1,6000,"6000,","Free",2.5,23
"162","BoldNet Mobile",0,571363971,1,1,6000,"6000,6002,","Free",1.5,23
"163","Bayer Gram'ID",0,582597575,1,1,6000,"6000,","Free",4,23
"164","Яндекс.Директ",0,583627331,1,1,6000,"6000,","Free",2.5,23
"165","Scan to Note",0,602515377,1,1,6000,"6000,6015,","Free",3.5,23
"166","TopMec",0,604021724,0,1,6000,"6000,","Free",4.5,23
"167","Vectren",0,625473734,1,1,6000,"6000,6002,","Free",2,23
"168","1stPayPOS - Point of Sale",0,641725563,0,1,6000,"6000,6015,","Free",3.5,23
"169","HireVue for Recruiting",0,641790762,1,1,6000,"6000,6005,","Free",4.5,23
"170","Atrium Teammates",0,652297845,1,1,6000,"6000,6007,","Free",4,23
"171","BankDhofar",0,671542722,1,1,6000,"6000,6015,","Free",4,23
"172","Hyundai Motor Finance Dealer GroundScan",0,677922427,1,1,6000,"6000,","Free",1.5,23
"173","My Roehl",0,715650715,1,1,6000,"6000,","Free",3,23
"174","Life Unlimited",0,720681873,1,1,6000,"6000,6007,","Free",3,23
"175","GOIS Pro",0,734289196,1,1,6000,"6000,6002,","Free",2.5,23
"176","MEC_QATAR",0,735953928,1,1,6000,"6000,6006,","Free",4.5,23
"177","JJK Contracting",0,749372884,1,1,6000,"6000,","Free",5,23
"178","Live Auctions.TV",0,763638480,1,1,6000,"6000,6024,","Free",3,23
"179","Personal Selling Power",0,787261297,1,1,6000,"6000,6021,","Free",4,23
"180","Dealer Auction",0,795036728,1,1,6000,"6000,","Free",2.5,23
"181","Convey On-Demand",0,797044247,1,1,6000,"6000,6002,","Free",3.5,23
"182","Calendar for Business Pro",4.99,797761268,1,1,6000,"6000,6007,","4.99 USD",4,23
"183","NCR Silver Pro Restaurant",0,804928946,0,1,6000,"6000,6023,","Free",4,23
"184","Jack Daniels Motors DealerApp",0,811435587,1,1,6000,"6000,6012,","Free",5,23
"185","Doc Scanner : Scan PDF Documents & Send Fax",2.99,822595096,1,1,6000,"6000,6007,","2.99 USD",4,23
"186","AWS Summit 2018 Official App",0,828697287,1,1,6000,"6000,6003,","Free",1.5,23
"187","IAA Audio Live Auction Buyer Salvage",0,862577084,1,1,6000,"6000,","Free",2,23
"188","Help Lightning",0,867775336,1,1,6000,"6000,6007,","Free",4.5,23
"189","Vitamin-R",5.99,884957426,1,1,6000,"6000,6007,","5.99 USD",3.5,23
"190","Scanio - Document scanner with Text Recognition",1.99,887510333,1,1,6000,"6000,6002,","1.99 USD",3,23
"191","Solstice Client",0,887643816,1,1,6000,"6000,6007,","Free",2.5,23
"192","All-In-One Event Manager & POS",0,889676302,1,1,6000,"6000,6007,","Free",5,23
"193","USITT",0,892926099,1,1,6000,"6000,","Free",3.5,23
"194","Talk A Lot Wireless",0,905058274,1,1,6000,"6000,","Free",2,23
"195","Dan's Comp",0,906516139,1,1,6000,"6000,6013,","Free",4.5,23
"196","PwC myMobility Calendar",0,909089590,1,1,6000,"6000,6015,","Free",1.5,23
"197","SendGrid",0,916808878,1,1,6000,"6000,6007,","Free",4,23
"198","ATV-AHD",0,919048886,1,1,6000,"6000,6008,","Free",3.5,23
"199","Кабинет Продавца Satu.kz",0,935673436,1,1,6000,"6000,","Free",5,23
"200","My Coordinator",0,943048918,1,1,6000,"6000,6007,","Free",4.5,23
"201","RapidFunnel",0,948835721,1,1,6000,"6000,6002,","Free",5,23
"202","Translate 2 for Safari",0,955409467,1,1,6000,"6000,6002,","Free",3.5,23
"203","VeryPDF PDF to Word",5.99,959436075,1,1,6000,"6000,6002,","5.99 USD",3,23
"204","PlanSource Mobile",0,959630340,1,1,6000,"6000,6013,","Free",1.5,23
"205","BPDBALI Mobile",0,975110540,1,1,6000,"6000,","Free",4,23
"206","Shocase - Marketing's Professional Network",0,975347279,1,1,6000,"6000,6005,","Free",5,23
"207","PastureMap - Ranch Management",0,977077650,1,1,6000,"6000,6007,","Free",4.5,23
"208","VictoryAgency",0,985461206,1,1,6000,"6000,6016,","Free",2.5,23
"209","SAP Cloud for Customer",0,985812159,1,1,6000,"6000,6007,","Free",2.5,23
"210","Dairy News and Markets",0,991173708,1,1,6000,"6000,","Free",4.5,23
"211","My Password Manager - Fingerprint Lock Account, 1 Secure Digital Wallet plus Passcode Safe Vault App",0,993978899,1,1,6000,"6000,","Free",3.5,23
"212","BirdEye",0,1000915473,1,1,6000,"6000,","Free",3.5,23
"213","SEO BackLinks",0,1005485030,1,1,6000,"6000,6007,","Free",4.5,23
"214","MMS HDCVI",0,1007829539,1,1,6000,"6000,6008,","Free",2,23
"215","Hostme for Restaurant - Host",0,1021031770,1,1,6000,"6000,6023,","Free",4.5,23
"216","UNICARD App",0,1033843442,1,1,6000,"6000,6012,","Free",4.5,23
"217","車泉",0,1050904546,1,1,6000,"6000,6002,","Free",4,23
"218","The Freedom Journal | Set and Accomplish Your #1 Goal in 100-days",0,1056912190,1,1,6000,"6000,6012,","Free",4,23
"219","Asset Tiger",0,1065096319,1,1,6000,"6000,6007,","Free",3.5,23
"220","CheckIn by TicketWeb",0,1065101957,1,1,6000,"6000,6007,","Free",2.5,23
"221","The SUBWAY® Labor Scheduler",0,1069386320,1,1,6000,"6000,","Free",2,23
"222","SBI",0,1070060805,1,1,6000,"6000,6017,","Free",5,23
"223","Comdata Expense Track",0,1087908947,1,1,6000,"6000,","Free",4.5,23
"224","AdCheck",0,1090577345,1,1,6000,"6000,","Free",2,23
"225","Zippy Opinion (IN)",0,1093099853,1,1,6000,"6000,6002,","Free",4,23
"226","Businesses For Sale",0,1097116749,1,1,6000,"6000,6012,","Free",3.5,23
"227","Fleetmatics REVEAL LogBook App",0,1111610258,1,1,6000,"6000,6007,","Free",2,23
"228","Bento for Business",0,1113748218,1,1,6000,"6000,6015,","Free",5,23
"229","Salesmate – Sales CRM",0,1114709439,1,1,6000,"6000,6007,","Free",4.5,23
"230","JUST Students",0,1115178610,1,1,6000,"6000,","Free",4,23
"231","Work Center : Shift Scheduling & Staff Scheduling Manager",2.99,1115848842,1,1,6000,"6000,6007,","2.99 USD",2.5,23
"232","VEGAS KICKBACK APP",0,1147977798,1,1,6000,"6000,","Free",4,23
"233","Promogo",0,1152901685,1,1,6000,"6000,6005,","Free",4.5,23
"234","Partimer - Hire & Find Jobs",0,1160070109,1,0,6000,"6000,6012,","Free",3.5,23
"235","Lyber",0,1163146958,1,0,6000,"6000,6007,","Free",3.5,23
"236","行行造价-造价专业人士的APP",0,1170395649,1,1,6000,"6000,6002,","Free",5,23
"237","Zouk KL",0,1177290185,1,1,6000,"6000,6016,","Free",2,23
"238","Recruit – Video Resume Builder",0,1179804117,1,1,6000,"6000,","Free",5,23
"239","2N® Mobile Video",0,1188403431,1,1,6000,"6000,","Free",2.5,23
"240","Equiride",0,1192723470,1,1,6000,"6000,","Free",5,23
"241","大象新能源",0,1213232078,1,1,6000,"6000,","Free",5,23
"242","Secnum",0,1215632082,1,1,6000,"6000,6002,","Free",4,23
"243","ClockInEasy: Timesheet Tracker",0,1224758567,1,1,6000,"6000,6007,","Free",5,23
"244","Servicelink Auction",0,1225274125,1,1,6000,"6000,6012,","Free",5,23
"245","Store Leaders' Summit",0,1248522191,1,1,6000,"6000,6003,","Free",2.5,23
"246","University Credit Union",0,1251951415,1,1,6000,"6000,6015,","Free",3,23
"247","京准通-广告投放平台，移动营销推广工具",0,1255827379,1,1,6000,"6000,","Free",3,23
"248","VPN Unlimited - Best VPN Proxy",0,1258415373,1,1,6000,"6000,6015,","Free",4.5,23
"249","Call Recorder - Record Calls.",0,1263473781,1,1,6000,"6000,6002,","Free",3.5,23
"250","Easy Payslip Payroll & Payslip",0,1283832568,1,1,6000,"6000,6015,","Free",4.5,23
"251","Whish",0,1284243483,1,1,6000,"6000,","Free",5,23
"252","VPN - Unlimited BubbleVPN",0,1288859558,1,1,6000,"6000,","Free",4.5,23
"253","AutoGate",0,1293616968,1,1,6000,"6000,6012,","Free",3.5,23
"254","NatWest Pitch",0,1295634296,1,1,6000,"6000,6007,","Free",4.5,23
"255","OBER SD",0,1308964305,1,1,6000,"6000,6003,","Free",2.5,23
"256","Rental Property Analyzer",0,1329274628,1,1,6000,"6000,6015,","Free",4.5,23
"257","igotoo : bus compartido",0,1330944229,1,1,6000,"6000,6003,","Free",5,23
"258","EasySet - Security Templates",0,1337277481,1,1,6000,"6000,6007,","Free",5,23
"259","DHI conNextions",0,1370951097,1,1,6000,"6000,","Free",4,23
"260","DST Mobile App",0,1386235013,1,1,6000,"6000,","Free",4.5,23
"261","Superheat",6.99,304384842,1,1,6000,"6000,6006,","6.99 USD",2.5,22
"262","Baltimore Business Journal",0,320549409,1,1,6000,"6000,6021,","Free",3.5,22
"263","Jacksonville Business Journal",0,320628280,1,1,6000,"6000,6021,","Free",3,22
"264","iCatcher Go",0.99,323870805,1,1,6000,"6000,6002,","0.99 USD",3,22
"265","OrangeQC",0,324039524,1,1,6000,"6000,","Free",4,22
"266","Approach",0,327347611,1,1,6000,"6000,","Free",3.5,22
"267","Advanced Selling - A Sales App For Sales Leaders",0,338109411,1,1,6000,"6000,6007,","Free",5,22
"268","Acronym Creator",0,338982071,1,1,6000,"6000,6017,","Free",1.5,22
"269","Hindenburg Field Recorder",29.99,346169165,1,1,6000,"6000,6007,","29.99 USD",4.5,22
"270","iQuick Contract Maker",2.99,361350539,1,1,6000,"6000,6007,","2.99 USD",3.5,22
"271","FLASHLIGHT✪",0,386737162,1,1,6000,"6000,6007,","Free",3.5,22
"272","ezReceipt",0.99,398453602,1,1,6000,"6000,6015,","0.99 USD",3.5,22
"273","Projectionist",5.99,401454706,1,1,6000,"6000,6007,","5.99 USD",3.5,22
"274","Credit & Gift Card Processing",0,416028363,1,1,6000,"6000,6007,","Free",3.5,22
"275","Time Tracker + Billing",0,422080464,1,1,6000,"6000,6007,","Free",2.5,22
"276","SpeakText for Web",9.99,424401310,1,1,6000,"6000,6002,","9.99 USD",3.5,22
"277","AmReport",4.99,426391064,1,1,6000,"6000,6015,","4.99 USD",3,22
"278","OPPDconnect",0,434245024,1,1,6000,"6000,6012,","Free",2.5,22
"279","PIX System",0,438296952,1,1,6000,"6000,6007,","Free",4,22
"280","OpenDrive",0,452196356,1,1,6000,"6000,6007,","Free",2.5,22
"281","Radius Calculator",1.99,453210969,1,1,6000,"6000,6002,","1.99 USD",4.5,22
"282","Invoice Suite",0.99,465587615,1,1,6000,"6000,6002,","0.99 USD",2,22
"283","BillQuick",0,471804643,1,1,6000,"6000,6015,","Free",3,22
"284","Startel Secure Messaging",0,479974598,1,1,6000,"6000,6020,","Free",2.5,22
"285","i-FILTER ブラウザー＆クラウド SB",0,486333503,1,1,6000,"6000,","Free",2.5,22
"286","Business Plan App",9.99,504404925,1,1,6000,"6000,","9.99 USD",2.5,22
"287","Covideo",0,507458417,1,1,6000,"6000,","Free",4.5,22
"288","rGuest Seat",0,510222131,0,1,6000,"6000,6002,","Free",4.5,22
"289","realcommercial.com.au",0,525919391,1,1,6000,"6000,6015,","Free",4.5,22
"290","Subject Line",0,529276278,1,1,6000,"6000,6006,","Free",5,22
"291","SimpleCrew",0,537466633,1,1,6000,"6000,6007,","Free",3.5,22
"292","哈佛商业评论HD",0,537876054,0,1,6000,"6000,6021,","Free",3,22
"293","ACCC Insurance",0,540686290,1,1,6000,"6000,6002,","Free",3.5,22
"294","Process Modeller Lite (draw professional diagrams)",0,545755644,0,1,6000,"6000,6007,","Free",3,22
"295","My Salon Success Magazine",0,547152950,1,1,6000,"6000,6021,","Free",4,22
"296","City Electric Supply",0,549194176,1,1,6000,"6000,6006,","Free",4.5,22
"297","iFlare for CloudFlare™",0.99,562555187,1,1,6000,"6000,6007,","0.99 USD",2,22
"298","Spoof Trader Light Stockmarket Simulator",0,570572380,1,1,6000,"6000,6014,7017,","Free",4.5,22
"299","AvertX GO!",0,572936466,1,1,6000,"6000,6002,","Free",2,22
"300","Lydia Pro",0,579261494,1,1,6000,"6000,6015,","Free",4.5,22
"301","梦幻西游藏宝阁",0,580051673,1,1,6000,"6000,","Free",5,22
"302","훈장마을-강사 취업포털",0,584310795,1,1,6000,"6000,6017,","Free",4.5,22
"303","Axonify Mobile",0,599679030,1,1,6000,"6000,6017,","Free",3,22
"304","Pioneer® Field360™ Plantability",0,603674921,1,1,6000,"6000,","Free",3,22
"305","Crain’s New York Business",0,626240088,1,1,6000,"6000,6021,","Free",3.5,22
"306","职在-移动生活化办公助手",0,639946607,1,1,6000,"6000,6002,","Free",5,22
"307","ClaroPDF",0,666770153,1,1,6000,"6000,6007,","Free",4.5,22
"308","TechRabbit - Satellite TV",0,688613329,1,1,6000,"6000,6007,","Free",4,22
"309","AliSupplier - App for Alibaba",0,708064914,1,1,6000,"6000,6024,","Free",4,22
"310","iGive.com",0,732235465,1,1,6000,"6000,6007,","Free",3,22
"311","Bizz Card",0,732435448,1,1,6000,"6000,6005,","Free",4,22
"312","Salsa Kings",0,792663952,1,1,6000,"6000,","Free",5,22
"313","IntraService",0,819298975,1,1,6000,"6000,","Free",4,22
"314","Konzerta.com | Empleos",0,836108380,1,1,6000,"6000,6005,","Free",NA,22
"315","SelBuk B for iPad",0,843463621,0,1,6000,"6000,6007,","Free",4.5,22
"316","GPSタイムレコーダー",0,843561079,1,1,6000,"6000,6007,","Free",4,22
"317","Campaign Monitor",0,855095172,1,1,6000,"6000,6007,","Free",2,22
"318","United Automobile Insurance Co",0,868152074,1,1,6000,"6000,6015,","Free",3,22
"319","Contacts2",0,900485189,1,1,6000,"6000,6002,","Free",4,22
"320","동네마트",0,906395349,1,1,6000,"6000,6023,","Free",3,22
"321","Radio Ashour",0,909496616,1,1,6000,"6000,","Free",5,22
